지역,휘발유,경유,LPG,전기
서울,1635844,1106027,256291,23381
부산,688865,563586,116781,5512
대구,583213,471309,110992,12846
인천,801997,662581,128233,5517
광주,305021,273278,88139,3200
대전,335273,256137,68398,4462
울산,289522,226361,37115,2284
세종,88391,65729,12594,1186
경기,2934994,2447277,409339,21100
강원,349544,376564,59638,4086
충북,385979,383278,69904,4338
충남,503919,525045,87298,5575
전북,389234,439109,93673,3363
전남,425682,542652,107238,5415
경북,634342,674787,126758,7149
경남,851654,751512,139091,6552
제주,268636,251321,60334,21297
