지역,휘발유,경유,LPG,전기,년월
서울,1638511,1099842,253828,25581,2021.04
부산,692660,560689,116075,6821,2021.04
대구,582639,468461,110210,13142,2021.04
인천,804535,654347,125390,6312,2021.04
광주,305812,271486,88102,3593,2021.04
대전,335976,255933,68042,4995,2021.04
울산,291070,224926,36808,2599,2021.04
세종,89212,65712,12643,1317,2021.04
경기,2956698,2439355,408892,24841,2021.04
강원,352604,373170,59585,4460,2021.04
충북,390715,381382,70120,4781,2021.04
충남,508313,521829,87856,6269,2021.04
전북,391165,436431,93674,4054,2021.04
전남,434453,543866,109610,6001,2021.04
경북,638820,672526,126982,7773,2021.04
경남,858815,746369,139792,7474,2021.04
제주,274310,251429,60489,21978,2021.04
