date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 계
2020-01,"58,516","419,958","110,304","98,110","40,888","63,254","41,992","87,236","228,010","8,926","30,062","103,166","79,862","66,438","39,494","84,852","60,470","1,621,538"
2020-02,"58,464","418,028","110,242","98,020","40,780","63,038","42,008","87,070","226,728","8,942","30,018","102,638","79,756","66,466","39,308","84,852","60,398","1,616,756"
2020-03,"58,118","417,362","109,686","97,574","40,740","63,044","41,968","86,580","225,314","8,922","29,942","102,332","79,342","66,268","39,082","84,744","60,050","1,611,068"
2020-04,"57,968","417,116","109,340","97,400","40,688","63,000","41,766","86,310","223,936","8,886","29,820","102,510","79,068","65,872","38,346","84,246","59,972","1,606,244"
2020-05,"57,992","416,356","109,148","97,384","40,490","62,458","41,426","86,090","222,660","8,804","29,690","102,136","78,970","65,820","38,284","84,154","59,926","1,601,788"
2020-06,"58,000","415,408","108,826","97,382","40,354","62,232","41,320","85,886","221,178","8,726","29,614","101,854","79,174","65,734","38,270","83,976","59,974","1,597,908"
2020-07,"57,992","414,560","108,624","97,406","40,372","62,112","41,294","85,664","219,690","8,696","29,600","101,362","79,294","65,676","38,234","83,934","59,818","1,594,328"
2020-08,"57,814","413,552","108,348","97,116","40,246","62,012","41,244","85,474","218,100","8,654","29,424","100,672","79,080","65,548","38,242","83,824","59,716","1,589,066"
2020-09,"57,816","412,722","108,026","96,786","40,180","61,946","41,130","85,132","216,410","8,668","29,284","99,944","78,792","65,388","38,282","83,586","59,468","1,583,560"
2020-10,"57,752","411,266","107,526","96,544","40,008","61,462","40,684","84,888","215,402","8,694","29,150","99,790","78,622","65,278","38,178","83,310","59,244","1,577,798"
2020-11,"57,608","409,954","107,010","96,326","39,952","61,168","40,412","84,580","214,232","8,688","29,146","99,414","78,554","65,232","38,088","82,934","59,182","1,572,480"
2020-12,"57,446","409,062","107,224","96,166","39,880","61,002","40,524","84,112","213,008","8,688","29,054","98,678","78,524","65,040","37,688","82,662","58,926","1,567,684"
2021-01,"57,388","408,682","107,068","95,958","39,770","60,884","40,578","83,826","212,130","8,716","29,008","97,786","78,574","64,980","37,498","82,534","58,700","1,564,080"
2021-02,"57,372","407,780","107,014","95,908","39,688","60,784","40,416","83,440","211,142","8,690","28,960","96,902","78,594","64,878","37,446","82,484","58,658","1,560,156"
2021-03,"57,138","404,758","106,342","95,944","39,698","60,564","40,244","82,962","209,626","8,738","28,888","96,164","78,238","64,846","37,348","82,412","58,588","1,552,498"
2021-04,"56,526","402,984","105,428","95,280","39,300","60,138","40,170","82,414","208,202","8,710","28,682","95,608","77,556","64,346","36,938","81,684","58,064","1,542,030"
2021-05,"56,166","402,030","105,090","94,672","38,984","59,450","39,396","82,080","207,324","8,656","28,480","95,036","77,384","63,934","36,848","81,316","57,854","1,534,700"
2021-06,"56,034","400,694","104,656","94,408","38,622","59,064","38,984","81,662","206,356","8,640","28,364","94,582","77,488","63,694","36,812","81,056","57,772","1,528,888"
2021-07,"55,854","399,660","104,348","94,148","38,254","59,020","38,896","81,190","205,374","8,588","28,334","94,240","77,350","63,676","36,918","80,980","57,720","1,524,550"
2021-08,"55,652","398,402","103,924","93,868","38,030","58,856","38,854","80,914","204,344","8,588","28,224","93,604","77,252","63,516","36,868","80,640","57,596","1,519,132"
2021-09,"55,476","397,394","103,524","93,610","37,992","58,406","38,724","80,664","203,440","8,520","28,134","92,478","77,446","63,324","36,778","80,490","57,672","1,514,072"
2021-10,"55,338","395,892","103,206","93,374","37,876","58,002","38,432","80,416","202,628","8,654","28,080","91,832","77,314","63,180","36,696","80,280","57,436","1,508,636"
2021-11,"55,110","394,584","102,864","93,226","37,768","57,868","38,240","80,144","201,770","8,646","28,034","91,304","77,352","63,080","36,708","80,194","57,232","1,504,124"
2021-12,"54,938","393,820","102,558","93,094","37,688","57,656","38,262","79,908","200,806","8,664","27,966","90,584","77,226","62,994","36,588","80,072","57,112","1,499,936"
2022-01,"54,866","393,238","102,490","93,034","37,682","57,492","38,118","79,742","199,718","8,682","27,884","90,018","76,760","62,844","36,486","79,944","56,956","1,495,954"
2022-02,"54,642","392,232","102,084","92,946","37,608","57,260","37,990","79,548","199,084","8,724","27,818","89,648","76,572","62,702","36,402","79,752","57,004","1,492,016"
2022-03,"54,632","390,864","101,450","92,674","37,416","57,068","37,762","78,818","198,162","8,698","27,630","89,162","76,226","62,502","36,204","79,634","56,802","1,485,704"
2022-04,"54,464","389,482","100,858","92,324","37,016","56,770","37,456","78,454","197,374","8,642","27,446","88,560","75,990","62,108","36,162","79,176","56,566","1,478,848"
2022-05,"54,130","388,184","100,404","91,908","36,766","56,474","37,254","78,096","196,762","8,616","27,266","88,014","75,758","61,890","35,998","78,988","56,440","1,472,948"
2022-06,"54,014","387,242","100,034","91,782","36,552","56,372","37,138","77,932","196,290","8,654","27,292","87,514","75,700","61,854","35,856","78,876","56,372","1,469,474"
2022-07,"53,966","386,208","99,726","91,680","36,488","56,150","36,976","77,758","195,690","8,648","27,228","87,334","75,712","61,764","35,808","78,728","56,304","1,466,168"
2022-08,"53,758","385,024","99,514","91,524","36,406","56,030","36,874","77,502","195,090","8,638","27,160","86,928","75,808","61,610","35,856","78,632","56,246","1,462,600"
2022-09,"53,690","383,756","99,148","91,208","36,296","55,890","36,680","77,290","194,394","8,618","27,040","86,372","75,890","61,488","35,796","78,352","56,170","1,458,078"
2022-10,"53,508","382,838","98,922","90,944","36,160","55,740","36,584","77,078","193,682","8,534","26,996","86,174","75,812","61,418","35,628","78,188","56,018","1,454,224"
2022-11,"53,442","381,894","98,988","90,812","36,128","55,686","36,480","76,826","193,028","8,508","26,974","84,996","76,308","61,302","35,614","78,204","55,992","1,451,182"
2022-12,"53,280","381,852","98,984","90,712","35,992","55,568","36,326","76,538","192,170","8,502","26,890","84,240","76,144","61,236","35,526","78,068","55,894","1,447,922"
2023-01,"53,202","380,838","98,818","90,612","35,990","55,432","36,238","76,372","191,656","8,458","26,860","83,936","75,810","61,134","35,476","78,074","55,882","1,444,788"
