date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 계
2020-01,"312,518","1,602,532","585,734","635,960","185,506","321,064","173,854","376,686","662,738","32,686","142,978","385,492","485,460","373,890","159,938","445,624","315,894","7,198,554"
2020-02,"312,954","1,600,562","586,820","636,994","185,658","321,014","173,872","376,310","661,504","32,770","143,134","385,078","486,266","374,784","160,298","446,720","316,620","7,201,358"
2020-03,"312,792","1,601,846","584,948","635,710","185,546","321,604","174,010","375,184","662,192","32,874","143,392","385,100","486,212","374,246","160,760","446,872","316,450","7,199,738"
2020-04,"313,390","1,603,844","585,026","636,218","185,098","320,870","173,434","374,718","661,712","32,920","142,902","385,152","486,920","372,184","160,462","445,778","316,182","7,196,810"
2020-05,"314,132","1,605,702","585,214","636,644","184,374","318,872","172,772","374,198","661,232","32,746","142,736","385,292","487,848","372,114","160,570","446,168","316,412","7,197,026"
2020-06,"315,178","1,610,626","585,416","637,826","184,158","318,416","172,566","374,124","661,236","32,732","142,856","383,052","489,262","372,788","160,752","446,922","317,094","7,205,004"
2020-07,"316,266","1,611,766","585,852","638,830","184,786","318,828","172,968","373,692","660,898","32,900","143,080","385,496","490,480","373,658","161,364","448,062","317,068","7,215,994"
2020-08,"316,374","1,613,290","585,420","638,682","184,728","318,698","172,960","373,152","661,002","32,926","142,708","385,112","490,130","373,638","162,058","448,518","317,082","7,216,478"
2020-09,"317,058","1,615,598","586,314","638,948","185,160","318,710","173,914","372,988","662,858","32,918","142,600","385,584","490,580","373,890","162,662","448,508","317,450","7,225,740"
2020-10,"317,826","1,618,684","585,704","639,626","185,182","316,794","173,122","373,278","662,742","33,062","142,438","385,934","490,992","374,160","162,758","448,454","317,896","7,228,652"
2020-11,"318,312","1,621,612","585,206","640,318","185,080","316,282","172,910","373,542","661,702","33,150","142,454","386,516","491,570","374,434","162,966","448,140","317,766","7,231,960"
2020-12,"318,694","1,622,704","585,088","640,460","184,888","315,958","172,918","373,300","659,886","33,176","142,426","386,522","491,954","374,116","163,176","447,878","317,346","7,230,490"
2021-01,"319,370","1,628,516","586,478","641,674","185,386","316,380","173,050","373,614","660,076","33,334","142,618","387,142","493,634","375,238","163,420","449,080","317,760","7,246,770"
2021-02,"321,066","1,630,482","587,458","642,226","185,290","316,666","173,012","373,850","658,800","33,422","142,790","386,888","494,972","375,816","163,886","449,712","318,786","7,255,122"
2021-03,"321,570","1,629,982","587,178","644,684","185,706","316,918","173,208","373,810","658,638","33,644","143,270","387,134","495,090","377,180","164,832","450,952","319,508","7,263,304"
2021-04,"319,734","1,631,810","584,766","640,988","184,672","316,376","173,480","372,970","657,178","33,504","142,876","388,022","492,538","375,034","163,430","448,464","317,220","7,243,062"
2021-05,"319,212","1,633,104","584,082","637,520","183,698","313,676","171,114","372,302","656,098","33,358","142,086","387,648","491,270","373,878","162,712","446,466","316,130","7,224,354"
